DEPARTAMENTO_CIRCUNSCRICAO,SECCIONAL_CIRCUNSCRICAO,MUNICIPIO_CIRCUNSCRICAO,DP_CIRCUNSCRICAO ,HD,Nº DE VÍT HD,ID_DELEGACIA,MÊS ESTATISTICA,ANO ESTATISTICA,DATAHORA_REGISTRO_BO,NUM_BO,ANO_BO,MUNICIPIO_ELABORACAO,DP_ELABORACAO,SEC_ELABORACAO,DEP_ELABORACAO,DATA_FATO,HORA_FATO,DESC_TIPOLOCAL,LOGRADOURO,NUMERO_LOGRADOURO,LATITUDE,LONGITUDE,TIPO_PESSOA,SEXO_PESSOA,IDADE_PESSOA,DATA_NASCIMENTO_PESSOA,COR_PELE,PROFISSAO,NATUREZA_APURADA,DESDOBRAMENTO
DEINTER 7,SEC Sorocaba,Sorocaba,011 DP - Sorocaba,1,1,120607,3,2016,3/3/2016,2078,2016,SOROCABA,PLANTÃO DE SOROCABA - Z. NORTE,DEL.SEC.SOROCABA,DEINTER 7 - SOROCABA,3/2/2016,07:15:00 PM,Residência,DA VEDAÇÃO DA DIVULGAÇÃO DOS DADOS RELATIVOS,,,,Vítima,Feminino,56,5/20/1959,Parda,PRENDAS DOMESTICAS,HOMICÍDIO DOLOSO,Feminicídio-contra a mulher por razões da condição de sexo feminino
DEINTER 2,1ª Seccional Campinas,Paulínia,DM - Paulínea,1,1,70319,3,2016,3/24/2016,1384,2016,PAULINIA,DEL.POL.PAULINIA,DEL.SEC.1º CAMPINAS,DEINTER 2 - CAMPINAS,3/24/2016,04:00:00 PM,Residência,DA VEDAÇÃO DA DIVULGAÇÃO DOS DADOS RELATIVOS,,,,Vítima,Feminino,76,5/23/1939,Branca,APOSENTADO(A),HOMICÍDIO DOLOSO,Feminicídio-contra a mulher por razões da condição de sexo feminino
DEINTER 6,SEC Registro,Registro,002 DP - Registro,1,1,40429,4,2016,4/10/2016,473,2016,REGISTRO,DEL.SEC.REGISTRO PLANTÃO,DEL.SEC.REGISTRO,DEINTER 6 - SANTOS,4/10/2016,08:00:00 AM,Residência,DA VEDAÇÃO DA DIVULGAÇÃO DOS DADOS RELATIVOS,,,,Vítima,Feminino,25,6/18/1990,Parda,GARÇON(ETE),HOMICÍDIO DOLOSO,Feminicídio-contra a mulher por razões da condição de sexo feminino
DEMACRO,SEC Guarulhos,Guarulhos,002 DP - Guarulhos,1,1,30206,4,2016,4/25/2016,2332,2016,GUARULHOS,01º D.P. GUARULHOS,DEL.SEC.GUARULHOS,DEMACRO,4/25/2016,06:30:00 AM,Residência,DA VEDAÇÃO DA DIVULGAÇÃO DOS DADOS RELATIVOS,,,,Vítima,Feminino,22,7/15/1993,Parda,NULL,HOMICÍDIO DOLOSO,Feminicídio-contra a mulher por razões da condição de sexo feminino
DECAP,5ª SEC,São Paulo,042 DP - Parque São Lucas,1,1,10310,4,2016,4/25/2016,2378,2016,S.PAULO,56º D.P. VILA ALPINA,DEL.SEC.5º LESTE,DECAP,4/25/2016,09:50:00 PM,Via pública,RUA DAS ALTARIFAS,142,-23.5893014914504,-46.5551989786918,Vítima,Feminino,50,1/4/1966,Branca,NULL,HOMICÍDIO DOLOSO,Feminicídio-contra a mulher por razões da condição de sexo feminino
DECAP,8ª SEC,São Paulo,054 DP - Cidade Tiradentes,1,1,20249,4,2016,4/21/2016,4395,2016,S.PAULO,49º D.P. SAO MATEUS,DEL.SEC.8º SAO MATEUS,DECAP,4/21/2016,10:00:00 PM,Via pública,RUA APÓSTOLO SIMÃO PEDRO,241,-23.5845006816236,-46.4021344738282,Vítima,Feminino,21,3/14/1995,Preta,AUXILIAR DE LIMPEZA,HOMICÍDIO DOLOSO,Feminicídio-contra a mulher por razões da condição de sexo feminino
DECAP,8ª SEC,São Paulo,054 DP - Cidade Tiradentes,,1,20249,4,2016,4/21/2016,4395,2016,S.PAULO,49º D.P. SAO MATEUS,DEL.SEC.8º SAO MATEUS,DECAP,4/21/2016,10:00:00 PM,Via pública,RUA APÓSTOLO SIMÃO PEDRO,241,-23.5845006816236,-46.4021344738282,Vítima,Feminino,31,4/17/1985,Preta,EMPREGADO DOMESTICO,HOMICÍDIO DOLOSO,Feminicídio-contra a mulher por razões da condição de sexo feminino
DEINTER 7,SEC Itapeva,Itararé,DM - Itararé,1,1,120409,4,2016,4/9/2016,895,2016,ITARARE,DEL.POL.ITARARE,DEL.SEC.ITAPEVA,DEINTER 7 - SOROCABA,4/9/2016,12:40:00 AM,Residência,DA VEDAÇÃO DA DIVULGAÇÃO DOS DADOS RELATIVOS,,,,Vítima,Feminino,27,5/6/1988,Branca,NULL,HOMICÍDIO DOLOSO,Feminicídio-contra a mulher por razões da condição de sexo feminino
DEINTER 3,SEC São Carlos,Porto Ferreira,DM - Porto Ferreira,1,1,100506,4,2016,4/21/2016,1483,2016,PORTO FERREIRA,DEL.POL.PORTO FERREIRA,DEL.SEC.SAO CARLOS,DEINTER 3 - RIBEIRAO PRETO,4/21/2016,08:00:00 PM,Residência,DA VEDAÇÃO DA DIVULGAÇÃO DOS DADOS RELATIVOS,,,,Vítima,Feminino,19,3/26/1997,Parda,NULL,HOMICÍDIO DOLOSO,Feminicídio-contra a mulher por razões da condição de sexo feminino
DEINTER 9,SEC Limeira,Leme,001 DP - Leme,1,1,70807,5,2016,5/25/2016,3374,2016,LEME,DEL.POL.LEME,DEL.SEC.LIMEIRA,DEINTER 9 - PIRACICABA,5/25/2016,06:45:00 AM,Via pública,RUA ANTÔNIO SANTUCI,345,-22.164731762,-47.380760278,Vítima,Feminino,17,8/12/1998,Branca,DESEMPREGADO(A),HOMICÍDIO DOLOSO,Feminicídio-contra a mulher por razões da condição de sexo feminino
DEMACRO,SEC São Bernardo Campo,São Caetano do Sul,001 DP - S. Caetano do Sul,1,1,30112,5,2016,5/7/2016,1453,2016,S.CAETANO DO SUL,DEL.POL.S.CAETANO DO SUL,DEL.SEC.S.BERNARDO DO CAMPO,DEMACRO,5/7/2016,03:50:00 AM,Residência,DA VEDAÇÃO DA DIVULGAÇÃO DOS DADOS RELATIVOS,,,,Vítima,Feminino,46,11/25/1969,Branca,DESEMPREGADO,HOMICÍDIO DOLOSO,Feminicídio-contra a mulher por razões da condição de sexo feminino
DEINTER 4,SEC Lins,Lins,002 DP - Lins,1,1,60405,5,2016,5/19/2016,2914,2016,LINS,CENTRAL POL.JUDICIÁRIA-LINS,DEL.SEC.LINS,DEINTER 4 - BAURU,5/19/2016,08:30:00 PM,Residência,DA VEDAÇÃO DA DIVULGAÇÃO DOS DADOS RELATIVOS,,,,Vítima,Feminino,34,8/13/1981,Branca,NULL,HOMICÍDIO DOLOSO,Feminicídio-contra a mulher por razões da condição de sexo feminino
DEMACRO,SEC Diadema,Diadema,002 DP - Diadema,1,1,30127,5,2016,5/29/2016,2412,2016,DIADEMA,03º D.P. DIADEMA,DEL.SEC.DIADEMA,DEMACRO,5/29/2016,PELA MANHÃ,Residência,DA VEDAÇÃO DA DIVULGAÇÃO DOS DADOS RELATIVOS,,,,Vítima,Feminino,31,4/6/1985,Preta,NULL,HOMICÍDIO DOLOSO,Feminicídio-contra a mulher por razões da condição de sexo feminino
DEMACRO,SEC Santo André,Mauá,004 DP - Mauá,1,1,30124,5,2016,5/7/2016,2886,2016,MAUA,01º D.P. MAUA,DEL.SEC.SANTO ANDRÉ,DEMACRO,5/7/2016,04:00:00 PM,Residência,DA VEDAÇÃO DA DIVULGAÇÃO DOS DADOS RELATIVOS,,,,Vítima,Feminino,22,1/2/1994,Branca,RECEPCIONISTA,HOMICÍDIO DOLOSO,Feminicídio-contra a mulher por razões da condição de sexo feminino
DEINTER 5,SEC São José Rio Preto,São José do Rio Preto,006 DP - São José do Rio Preto,1,1,110429,5,2016,5/11/2016,5888,2016,S.JOSE DO RIO PRETO,DEL.SEC.S.J RIO PRETO PLANTÃO,DEL.SEC.S.JOSE DO RIO PRETO,DEINTER 5 - SAO JOSE DO RIO PRETO,5/11/2016,07:08:00 PM,Comércio e serviços,AVENIDA DOUTOR ERNÂNI PÍRES DOMINGUES,1810,-20.7906315323333,-49.3916786477948,Vítima,Feminino,37,4/2/1979,Branca,AUTONOMO(A),HOMICÍDIO DOLOSO,Feminicídio-contra a mulher por razões da condição de sexo feminino
DECAP,3ª SEC,São Paulo,046 DP - Perus,1,1,10346,5,2016,5/13/2016,1751,2016,S.PAULO,46º D.P. PERUS,DEL.SEC.3º OESTE,DECAP,5/13/2016,11:36:00 AM,Residência,DA VEDAÇÃO DA DIVULGAÇÃO DOS DADOS RELATIVOS,,,,Vítima,Feminino,24,2/6/1992,Parda,NULL,HOMICÍDIO DOLOSO,Feminicídio-contra a mulher por razões da condição de sexo feminino
DEINTER 2,2ª Seccional Campinas,Indaiatuba,DM - Indaiatuba,1,1,70931,5,2016,5/29/2016,3446,2016,INDAIATUBA,DEL.POL.PLANTÃO INDAIATUBA,DEL.SEC.2º CAMPINAS,DEINTER 2 - CAMPINAS,5/29/2016,09:58:00 AM,Residência,DA VEDAÇÃO DA DIVULGAÇÃO DOS DADOS RELATIVOS,,,,Vítima,Feminino,59,5/15/1957,Branca,AUXILIAR DE SERVIÇOS GERAIS,HOMICÍDIO DOLOSO,Feminicídio-contra a mulher por razões da condição de sexo feminino
DEMACRO,SEC Taboão da Serra,Taboão da Serra,001 DP - Taboão da Serra,1,1,30614,6,2016,6/10/2016,2945,2016,TABOAO DA SERRA,01º D.P. TABOÃO DA SERRA,DEL.SEC.TABOÃO DA SERRA,DEMACRO,6/10/2016,05:50:00 PM,Via pública,RUA DOUTOR CARLOS SIQUEIRA NETO,156,-23.6255287791024,-46.7768769596956,Vítima,Feminino,33,11/15/1982,Branca,DESEMPREGADO(A),HOMICÍDIO DOLOSO,Feminicídio-contra a mulher por razões da condição de sexo feminino
DEINTER 1,SEC Taubaté,Pindamonhangaba,002 DP - Pindamonhangaba,1,1,130517,6,2016,6/5/2016,1250,2016,PINDAMONHANGABA,DEL.POL.PLANTÃO PINDA,DEL.SEC.TAUBATÉ,DEINTER 1 - SAO JOSE DOS CAMPOS,6/5/2016,05:50:00 AM,Via pública,RUA MEXICO,41,-22.889574673,-45.376503673614,Vítima,Feminino,27,8/1/1988,Branca,NULL,HOMICÍDIO DOLOSO,Feminicídio-contra a mulher por razões da condição de sexo feminino
DEINTER 5,SEC Catanduva,Catanduva,002 DP - Catanduva,1,1,110708,6,2016,6/25/2016,4290,2016,CATANDUVA,DEL.SEC.CATANDUVA PLANTÃO,DEL.SEC.CATANDUVA,DEINTER 5 - SAO JOSE DO RIO PRETO,6/25/2016,EM HORA INCERTA,Residência,DA VEDAÇÃO DA DIVULGAÇÃO DOS DADOS RELATIVOS,,,,Vítima,Feminino,61,2/1/1955,Branca,PRENDAS DOMESTICAS,HOMICÍDIO DOLOSO,Feminicídio-contra a mulher por razões da condição de sexo feminino
DEMACRO,SEC Santo André,Santo André,006 DP - Santo André,1,1,30117,6,2016,6/24/2016,2640,2016,S.ANDRE,DEL.POL.RIBEIRAO PIRES,DEL.SEC.SANTO ANDRÉ,DEMACRO,6/24/2016,10:00:00 AM,Rodovia/Estrada,ESTRADA DO RIO CLARO,0,-23.76703213,-46.3414662,Vítima,Feminino,36,10/19/1979,Branca,ADMINISTRADOR(A),HOMICÍDIO DOLOSO,Feminicídio-contra a mulher por razões da condição de sexo feminino
DECAP,6ª SEC,São Paulo,025 DP - Parelheiros,1,1,10225,6,2016,6/16/2016,1973,2016,S.PAULO,25º D.P. PARELHEIROS,DEL.SEC.6º SANTO AMARO,DECAP,6/16/2016,01:00:00 PM,Residência,DA VEDAÇÃO DA DIVULGAÇÃO DOS DADOS RELATIVOS,,,,Vítima,Feminino,33,1/21/1983,Branca,PRENDAS DOMESTICAS,HOMICÍDIO DOLOSO,Feminicídio-contra a mulher por razões da condição de sexo feminino
DECAP,4ª SEC,São Paulo,038 DP - Vila Amália,1,1,10335,6,2016,6/14/2016,4469,2016,S.PAULO,72º D.P. VILA PENTEADO,DEL.SEC.4º NORTE,DECAP,6/14/2016,05:08:00 AM,Residência,DA VEDAÇÃO DA DIVULGAÇÃO DOS DADOS RELATIVOS,,,,Vítima,Feminino,27,11/26/1988,Preta,DESEMPREGADO(A),HOMICÍDIO DOLOSO,Feminicídio-contra a mulher por razões da condição de sexo feminino
DEINTER 3,SEC Franca,Miguelópolis,DM - Miguelópolis,1,1,100310,6,2016,6/8/2016,923,2016,MIGUELOPOLIS,DEL.POL.MIGUELOPOLIS,DEL.SEC.FRANCA,DEINTER 3 - RIBEIRAO PRETO,6/8/2016,EM HORA INCERTA,Condominio Residencial,DA VEDAÇÃO DA DIVULGAÇÃO DOS DADOS RELATIVOS,,,,Vítima,Feminino,23,11/23/1992,Branca,ESTUDANTE,HOMICÍDIO DOLOSO,Feminicídio-contra a mulher por razões da condição de sexo feminino
DECAP,1ª SEC,São Paulo,001 DP - Sé,1,1,10101,7,2016,7/22/2016,3998,2016,S.PAULO,01º D.P. SE,DEL.SEC.1º CENTRO,DECAP,7/22/2016,06:50:00 AM,Via pública,PRAÇA DA BANDEIRA,0,-23.550234533,-46.639254567,Vítima,Feminino,35,4/2/1981,Branca,ENFERMEIRO(A),HOMICÍDIO DOLOSO,Feminicídio-contra a mulher por razões da condição de sexo feminino
DEMACRO,SEC São Bernardo Campo,São Bernardo do Campo,002 DP - São Bernardo do Campo,1,1,30109,7,2016,7/31/2016,6502,2016,S.BERNARDO DO CAMPO,01º D.P. S.B.C-DR OMAR CASSIM,DEL.SEC.S.BERNARDO DO CAMPO,DEMACRO,7/31/2016,06:41:00 PM,Area não ocupada,RUA GREGÓRIA DE FREGEL,198,-23.7309237708817,-46.5599086304372,Vítima,Feminino,32,1/25/1984,Branca,PRENDAS DOMESTICAS,HOMICÍDIO DOLOSO,Feminicídio-contra a mulher por razões da condição de sexo feminino
DEINTER 3,SEC Franca,Franca,003 DP - Franca,1,1,100319,7,2016,7/18/2016,335,2016,FRANCA,DEL.INV.GER. FRANCA,DEL.SEC.FRANCA,DEINTER 3 - RIBEIRAO PRETO,7/18/2016,05:00:00 PM,Via pública,RUA GOIÁS,1555,-20.5217669694444,-47.3797931431111,Vítima,Feminino,39,9/29/1976,Preta,SAPATEIRO(A),HOMICÍDIO DOLOSO,Feminicídio-contra a mulher por razões da condição de sexo feminino
DEINTER 3,SEC Barretos,Barretos,001 DP - Barretos,1,1,100909,8,2016,8/10/2016,2284,2016,BARRETOS,DEL.SEC.BARRETOS PLANTÃO,DEL.SEC.BARRETOS,DEINTER 3 - RIBEIRAO PRETO,8/9/2016,11:49:00 PM,Residência,DA VEDAÇÃO DA DIVULGAÇÃO DOS DADOS RELATIVOS,,,,Vítima,Feminino,48,4/25/1968,Branca,PEDAGOGO(A),HOMICÍDIO DOLOSO,Feminicídio-contra a mulher por razões da condição de sexo feminino
DEINTER 2,SEC Mogi-Guaçu,Itapira,002 DP - Itapira,1,1,70313,8,2016,8/29/2016,2552,2016,ITAPIRA,DEL.POL.ITAPIRA,DEL.SEC.MOGI GUAÇU,DEINTER 2 - CAMPINAS,8/29/2016,06:30:00 PM,Comércio e serviços,RUA CÔNEGO HENRIQUE DE MORÃES MATOS,194,-22.4214551306296,-46.8242830212963,Vítima,Feminino,33,4/17/1983,Branca,CABELEIREIRO(A),HOMICÍDIO DOLOSO,Feminicídio-contra a mulher por razões da condição de sexo feminino
DEINTER 7,SEC Sorocaba,Sorocaba,008 DP - Sorocaba,1,1,120607,8,2016,8/30/2016,8245,2016,SOROCABA,PLANTÃO DE SOROCABA - Z. NORTE,DEL.SEC.SOROCABA,DEINTER 7 - SOROCABA,8/30/2016,06:40:00 AM,Residência,DA VEDAÇÃO DA DIVULGAÇÃO DOS DADOS RELATIVOS,,,,Vítima,Feminino,73,5/12/1943,Branca,APOSENTADO(A),HOMICÍDIO DOLOSO,Feminicídio-contra a mulher por razões da condição de sexo feminino
DECAP,4ª SEC,São Paulo,045 DP - Vila Brasilândia,1,1,10335,8,2016,8/6/2016,5843,2016,S.PAULO,72º D.P. VILA PENTEADO,DEL.SEC.4º NORTE,DECAP,8/6/2016,08:15:00 PM,Via pública,RUA OURO VELHO,80,-23.4644918364377,-46.6892657453423,Vítima,Feminino,37,10/13/1978,Parda,AJUDANTE,HOMICÍDIO DOLOSO,Feminicídio-contra a mulher por razões da condição de sexo feminino
DEMACRO,SEC Carapicuíba,Itapevi,DM - Itapevi,1,1,30407,8,2016,8/14/2016,4916,2016,ITAPEVI,DEL.POL.ITAPEVI,DEL.SEC.CARAPICUIBA,DEMACRO,8/14/2016,06:31:00 PM,Residência,DA VEDAÇÃO DA DIVULGAÇÃO DOS DADOS RELATIVOS,,,,Vítima,Feminino,52,NULL,Parda,NULL,HOMICÍDIO DOLOSO,Feminicídio-contra a mulher por razões da condição de sexo feminino
DEINTER 4,SEC Bauru,Pirajuí,DM - Pirajui,1,1,60111,8,2016,8/7/2016,910,2016,PIRAJUI,DEL.POL.PIRAJUI,DEL.SEC.BAURU,DEINTER 4 - BAURU,8/6/2016,10:30:00 PM,Via pública,RUA SEBASTIÃO RIZZO,580,-21.9961940979361,-49.4570962072978,Vítima,Feminino,59,9/23/1956,Parda,NULL,HOMICÍDIO DOLOSO,Feminicídio-contra a mulher por razões da condição de sexo feminino
DEMACRO,SEC Carapicuíba,Cotia,001 DP - Cotia,1,1,30423,9,2016,9/16/2016,1016,2016,COTIA,01º D.P. COTIA,DEL.SEC.CARAPICUIBA,DEMACRO,9/16/2016,03:00:00 AM,Residência,DA VEDAÇÃO DA DIVULGAÇÃO DOS DADOS RELATIVOS,,,,Vítima,Feminino,50,5/5/1966,Branca,PROFESSOR(A),HOMICÍDIO DOLOSO,Feminicídio-contra a mulher por razões da condição de sexo feminino
DEINTER 7,SEC Sorocaba,Sorocaba,001 DP - Sorocaba,1,1,120607,9,2016,9/5/2016,8436,2016,SOROCABA,PLANTÃO DE SOROCABA - Z. NORTE,DEL.SEC.SOROCABA,DEINTER 7 - SOROCABA,9/4/2016,10:53:00 PM,Residência,DA VEDAÇÃO DA DIVULGAÇÃO DOS DADOS RELATIVOS,,,,Vítima,Feminino,32,6/13/1984,Preta,NULL,HOMICÍDIO DOLOSO,Feminicídio-contra a mulher por razões da condição de sexo feminino
DEINTER 1,SEC São José Campos,São José dos Campos,003 DP - São Jose dos Campos,1,1,130001,9,2016,9/22/2016,400,2016,S.JOSE DOS CAMPOS,DEL.INV.GER. S.JOSE DOS CAMPOS,DEL.SEC.S.JOSÉ DOS CAMPOS,DEINTER 1 - SAO JOSE DOS CAMPOS,9/22/2016,08:00:00 AM,Residência,DA VEDAÇÃO DA DIVULGAÇÃO DOS DADOS RELATIVOS,,,,Vítima,Feminino,19,5/19/1997,Branca,NULL,HOMICÍDIO DOLOSO,Feminicídio-contra a mulher por razões da condição de sexo feminino
DEINTER 5,SEC Votuporanga,Votuporanga,003 DP - Votuporanga,1,1,110528,9,2016,9/8/2016,312,2016,VOTUPORANGA,DEL.INV.GER. VOTUPORANGA,DEL.SEC.VOTUPORANGA,DEINTER 5 - SAO JOSE DO RIO PRETO,9/6/2016,01:30:00 PM,Residência,DA VEDAÇÃO DA DIVULGAÇÃO DOS DADOS RELATIVOS,,,,Vítima,Feminino,65,10/16/1950,Branca,OUTROS,HOMICÍDIO DOLOSO,Feminicídio-contra a mulher por razões da condição de sexo feminino
DEINTER 4,SEC Marília,Garça,DM - Garça,1,1,80205,9,2016,9/13/2016,435,2016,GARCA,DEL.DEF.MUL. GARÇA,DEL.SEC.MARILIA,DEINTER 4 - BAURU,9/13/2016,12:40:00 PM,Residência,DA VEDAÇÃO DA DIVULGAÇÃO DOS DADOS RELATIVOS,,,,Vítima,Feminino,31,1/29/1985,Branca,MONTADOR(A),HOMICÍDIO DOLOSO,Feminicídio-contra a mulher por razões da condição de sexo feminino
DEMACRO,SEC Mogi das Cruzes,Itaquaquecetuba,DM - Itaquaquecetuba,1,1,30304,9,2016,9/4/2016,6348,2016,ITAQUAQUECETUBA,DEL.POL.ITAQUAQUECETUBA,DEL.SEC.MOGI DAS CRUZES,DEMACRO,9/4/2016,10:01:00 AM,Residência,DA VEDAÇÃO DA DIVULGAÇÃO DOS DADOS RELATIVOS,,,,Vítima,Feminino,16,7/24/2000,Parda,PRENDAS DOMESTICAS,HOMICÍDIO DOLOSO,Feminicídio-contra a mulher por razões da condição de sexo feminino
DEINTER 4,SEC Lins,Lins,001 DP - Lins,1,1,60405,10,2016,10/22/2016,6308,2016,GETULINA,CENTRAL POL.JUDICIÁRIA-LINS,DEL.SEC.LINS,DEINTER 4 - BAURU,10/22/2016,01:58:00 PM,Unidade rural,FAZENDA BRATAC - BAIRRO 7 DE ABRIL,0,NULL,NULL,Vítima,Feminino,35,8/2/1981,Parda,PRENDAS DOMESTICAS,HOMICÍDIO DOLOSO,Feminicídio-contra a mulher por razões da condição de sexo feminino
DEMACRO,SEC Osasco,Osasco,008 DP - Osasco,1,1,30435,10,2016,10/26/2016,1761,2016,OSASCO,08º D.P. OSASCO,DEL.SEC.OSASCO,DEMACRO,10/26/2016,01:29:00 PM,Residência,DA VEDAÇÃO DA DIVULGAÇÃO DOS DADOS RELATIVOS,,,,Vítima,Feminino,62,2/19/1954,Preta,PRENDAS DOMESTICAS,HOMICÍDIO DOLOSO,Feminicídio-contra a mulher por razões da condição de sexo feminino
DECAP,3ª SEC,São Paulo,037 DP - Campo Limpo,1,1,10356,10,2016,10/12/2016,8198,2016,S.PAULO,89º D.P. JARDIM TABOAO,DEL.SEC.3º OESTE,DECAP,10/12/2016,01:27:00 AM,Hospedagem,ESTRADA DE ITAPECERICA,1640,-23.6485571845731,-46.7498136922798,Vítima,Feminino,24,3/8/1992,Parda,NULL,HOMICÍDIO DOLOSO,Feminicídio-contra a mulher por razões da condição de sexo feminino
