DEPARTAMENTO_CIRCUNSCRICAO,SECCIONAL_CIRCUNSCRICAO,MUNICIPIO_CIRCUNSCRICAO,DP_CIRCUNSCRICAO ,HD,Nº DE VÍT HD,ID_DELEGACIA,MÊS ESTATISTICA,ANO ESTATISTICA,DATAHORA_REGISTRO_BO,NUM_BO,ANO_BO,MUNICIPIO_ELABORACAO,DP_ELABORACAO,SEC_ELABORACAO,DEP_ELABORACAO,DATA_FATO,HORA_FATO,DESC_TIPOLOCAL,LOGRADOURO,NUMERO_LOGRADOURO,LATITUDE,LONGITUDE,TIPO_PESSOA,SEXO_PESSOA,IDADE_PESSOA,DATA_NASCIMENTO_PESSOA,COR_PELE,PROFISSAO,NATUREZA_APURADA,DESDOBRAMENTO
DEINTER 1,SEC São José Campos,São José dos Campos,003 DP - São Jose dos Campos,1,1,130508,2,2018,2/24/2018,642,2018,S.JOSE DOS CAMPOS,DEL.SEC.POL.SJCAMPOS PL SUL,DEL.SEC.S.JOSÉ DOS CAMPOS,DEINTER 1 - SAO JOSE DOS CAMPOS,2/24/2018,01:50:00 PM,Residência,DA VEDAÇÃO DA DIVULGAÇÃO DOS DADOS RELATIVOS ,,,,Vítima,Feminino,39,8/27/1978,Branca,DESEMPREGADO,HOMICÍDIO DOLOSO,Feminicídio-contra a mulher por razões da condição de sexo feminino
DEINTER 2,SEC Jundiaí,Itatiba,DM - Itatiba,1,1,70403,2,2018,2/3/2018,565,2018,ITATIBA,DEL.POL.ITATIBA,DEL.SEC.JUNDIAI,DEINTER 2 - CAMPINAS,2/2/2018,11:00:00 PM,Via pública,RUA BENEDITO JOSÉ PICOLI,1,-23.0132068870927,-46.8447891893602,Vítima,Feminino,18,4/6/1999,Branca,ESTUDANTE,HOMICÍDIO DOLOSO,Feminicídio-contra a mulher por razões da condição de sexo feminino
DEINTER 7,SEC Botucatu,Botucatu,003 DP - Botucatu,1,1,120200,2,2018,2/19/2018,212,2018,BOTUCATU,DEL.SEC.BOTUCATU,DEL.SEC.BOTUCATU,DEINTER 7 - SOROCABA,2/18/2018,10:13:00 PM,Via pública,AVENIDA BENTO LOPES,0,-22.890758643,-48.490822755,Vítima,Feminino,20,1/7/1998,Parda,DESEMPREGADO,HOMICÍDIO DOLOSO,Feminicídio-contra a mulher por razões da condição de sexo feminino
DEINTER 2,2ª Seccional Campinas,Campinas,011 DP - Campinas,1,1,70005,3,2018,3/13/2018,12,2018,CAMPINAS,01ª DEL. SEC. CAMPINAS - SHPP,DEL.SEC.1º CAMPINAS,DEINTER 2 - CAMPINAS,3/13/2018,03:00:00 PM,Unidade rural,AVENIDA AV. DEP. LUIS EDUARDO MAGALHÃES,2605,-22.936003828,-47.187390169,Vítima,Feminino,24,10/7/1993,Branca,NAO INFORMADA,HOMICÍDIO DOLOSO,Feminicídio-contra a mulher por razões da condição de sexo feminino
DEINTER 2,2ª Seccional Campinas,Indaiatuba,001 DP - Indaiatuba,1,1,70931,3,2018,3/24/2018,2054,2018,INDAIATUBA,DEL.POL.PLANTÃO INDAIATUBA,DEL.SEC.2º CAMPINAS,DEINTER 2 - CAMPINAS,3/24/2018,A NOITE,Via pública,RUA JOANA DE BERNARDIM BAIZOLA,453,-23.1047007801428,-47.2136346468928,Vítima,Feminino,42,12/3/1975,Parda,NAO INFORMADA,HOMICÍDIO DOLOSO,Feminicídio-contra a mulher por razões da condição de sexo feminino
DEINTER 2,2ª Seccional Campinas,Indaiatuba,DM - Indaiatuba,1,1,70931,3,2018,3/24/2018,2049,2018,INDAIATUBA,DEL.POL.PLANTÃO INDAIATUBA,DEL.SEC.2º CAMPINAS,DEINTER 2 - CAMPINAS,3/24/2018,A NOITE,Via pública,ALAMEDA JACARANDÁS,35,-23.110794755,-47.178312865,Vítima,Feminino,39,3/25/1978,Branca,NAO INFORMADA,HOMICÍDIO DOLOSO,Feminicídio-contra a mulher por razões da condição de sexo feminino
DEMACRO,SEC Franco da Rocha,Franco da Rocha,DM - Franco da Rocha,1,1,30204,3,2018,3/13/2018,1118,2018,FRANCO DA ROCHA,DEL.POL.FRANCO ROCHA,DEL.SEC.FRANCO DA ROCHA,DEMACRO,3/13/2018,11:42:00 AM,Residência,DA VEDAÇÃO DA DIVULGAÇÃO DOS DADOS RELATIVOS ,,,,Vítima,Feminino,34,11/23/1983,Preta,NAO INFORMADA,HOMICÍDIO DOLOSO,Feminicídio-contra a mulher por razões da condição de sexo feminino
DEMACRO,SEC Guarulhos,Guarulhos,008 DP - Guarulhos,1,1,30212,3,2018,3/17/2018,1641,2018,GUARULHOS,04º D.P. GUARULHOS,DEL.SEC.GUARULHOS,DEMACRO,3/17/2018,01:34:00 AM,Residência,DA VEDAÇÃO DA DIVULGAÇÃO DOS DADOS RELATIVOS ,,,,Vítima,Feminino,50,8/16/1967,Preta,NAO INFORMADA,HOMICÍDIO DOLOSO,Feminicídio-contra a mulher por razões da condição de sexo feminino
DEMACRO,SEC Mogi das Cruzes,Itaquaquecetuba,001 DP - Itaquaquecetuba,1,1,30500,3,2018,3/8/2018,570,2018,ITAQUAQUECETUBA,01º D.P. ITAQUAQUECETUBA,DEL.SEC.MOGI DAS CRUZES,DEMACRO,3/8/2018,01:46:00 AM,Residência,DA VEDAÇÃO DA DIVULGAÇÃO DOS DADOS RELATIVOS ,,,,Vítima,Feminino,26,12/12/1991,Parda,PRENDAS DOMESTICAS,HOMICÍDIO DOLOSO,Feminicídio-contra a mulher por razões da condição de sexo feminino
DEMACRO,SEC Santo André,Santo André,003 DP - Santo André,1,1,30102,3,2018,3/27/2018,1782,2018,S.ANDRE,01º D.P. SANTO ANDRÉ,DEL.SEC.SANTO ANDRÉ,DEMACRO,3/27/2018,10:10:00 PM,Via pública,RUA BELO HORIZONTE,85,-23.6980625512903,-46.5336710158387,Vítima,Feminino,41,3/20/1977,Parda,AUXILIAR DE PRODUCAO,HOMICÍDIO DOLOSO,Feminicídio-contra a mulher por razões da condição de sexo feminino
DEMACRO,SEC Taboão da Serra,Taboão da Serra,001 DP - Taboão da Serra,1,1,30614,3,2018,3/14/2018,1296,2018,TABOAO DA SERRA,01º D.P. TABOÃO DA SERRA,DEL.SEC.TABOÃO DA SERRA,DEMACRO,3/14/2018,DE MADRUGADA,Residência,DA VEDAÇÃO DA DIVULGAÇÃO DOS DADOS RELATIVOS ,,,,Vítima,Feminino,36,4/23/1981,Branca,NULL,HOMICÍDIO DOLOSO,Feminicídio-contra a mulher por razões da condição de sexo feminino
DECAP,4ª SEC,São Paulo,045 DP - Vila Brasilândia,1,1,20145,4,2018,4/14/2018,861,2018,S.PAULO,45º D.P. V BRASILANDIA,DEL.SEC.4º NORTE,DECAP,4/12/2018,12:53:00 PM,Residência,DA VEDAÇÃO DA DIVULGAÇÃO DOS DADOS RELATIVOS ,,,,Vítima,Feminino,33,4/15/1984,Parda,BALCONISTA,HOMICÍDIO DOLOSO,Feminicídio-contra a mulher por razões da condição de sexo feminino
DECAP,6ª SEC,São Paulo,100 DP - Jardim Herculano,1,1,200100,4,2018,4/29/2018,248,2018,S.PAULO,DHPP DIV. HOMICIDIOS,DHPP - DEP. HOM. PROTECAO PESSOA,DHPP,4/28/2018,11:00:00 PM,Residência,DA VEDAÇÃO DA DIVULGAÇÃO DOS DADOS RELATIVOS ,,,,Vítima,Feminino,17,12/12/2000,Parda,ESTUDANTE,HOMICÍDIO DOLOSO,Feminicídio-contra a mulher por razões da condição de sexo feminino
DEINTER 2,SEC Bragança Paulista,Atibaia,002 DP - Atibaia,1,1,70934,4,2018,4/10/2018,2742,2018,ATIBAIA,DEL.POL.PLANTÃO ATIBAIA,DEL.SEC.BRAGANÇA PAULISTA,DEINTER 2 - CAMPINAS,4/10/2018,12:00:00 PM,Residência,DA VEDAÇÃO DA DIVULGAÇÃO DOS DADOS RELATIVOS ,,,,Vítima,Feminino,54,1/8/1964,Branca,PRENDAS DOMESTICAS,HOMICÍDIO DOLOSO,Feminicídio-contra a mulher por razões da condição de sexo feminino
DEINTER 2,SEC Jundiaí,Várzea Paulista,DM - Várzea Pta.,1,1,70411,4,2018,4/9/2018,1499,2018,VARZEA PAULISTA,DEL.POL.VARZEA PAULISTA,DEL.SEC.JUNDIAI,DEINTER 2 - CAMPINAS,4/8/2018,11:50:00 PM,Residência,DA VEDAÇÃO DA DIVULGAÇÃO DOS DADOS RELATIVOS ,,,,Vítima,Feminino,30,3/30/1988,Branca,NULL,HOMICÍDIO DOLOSO,Feminicídio-contra a mulher por razões da condição de sexo feminino
DEINTER 3,SEC Araraquara,Araraquara,004 DP - Araraquara,1,1,100123,4,2018,4/9/2018,469,2018,ARARAQUARA,DDM ARARAQUARA,DEL.SEC.ARARAQUARA,DEINTER 3 - RIBEIRAO PRETO,4/9/2018,09:00:00 PM,Residência,DA VEDAÇÃO DA DIVULGAÇÃO DOS DADOS RELATIVOS ,,,,Vítima,Feminino,32,3/27/1986,Parda,NAO INFORMADA,HOMICÍDIO DOLOSO,Feminicídio-contra a mulher por razões da condição de sexo feminino
DEINTER 3,SEC Barretos,Guaíra,DM - Guaíra,1,1,100915,4,2018,4/29/2018,495,2018,GUAIRA,DEL.POL.PLANTÃO GUAIRA,DEL.SEC.BARRETOS,DEINTER 3 - RIBEIRAO PRETO,4/29/2018,03:07:00 PM,Via pública,AVENIDA QUINZE,1631,-20.3163478295957,-48.3170741039787,Vítima,Feminino,44,11/15/1973,Branca,PRENDAS DOMESTICAS,HOMICÍDIO DOLOSO,Feminicídio-contra a mulher por razões da condição de sexo feminino
DEINTER 3,SEC Franca,Guará,DM - Guará,1,1,100305,4,2018,4/1/2018,494/493,2018,GUARA,DEL.POL.GUARÁ,DEL.SEC.FRANCA,DEINTER 3 - RIBEIRAO PRETO,4/1/2018,08:20:00 PM,Unidade rural,DA VEDAÇÃO DA DIVULGAÇÃO DOS DADOS RELATIVOS ,,,,Vítima,Feminino,17,8/14/2000,Parda,PRENDAS DOMESTICAS,HOMICÍDIO DOLOSO,Feminicídio-contra a mulher por razões da condição de sexo feminino
DEINTER 3,SEC Sertãozinho,Monte Alto,DM - Monte Alto,1,1,100436,4,2018,4/4/2018,673,2018,MONTE ALTO,DEL.POL.MONTE ALTO,DEL.SEC.SERTÃOZINHO,DEINTER 3 - RIBEIRAO PRETO,4/3/2018,11:00:00 PM,Residência,DA VEDAÇÃO DA DIVULGAÇÃO DOS DADOS RELATIVOS ,,,,Vítima,Feminino,37,8/7/1980,Branca,NULL,HOMICÍDIO DOLOSO,Feminicídio-contra a mulher por razões da condição de sexo feminino
DEINTER 3,SEC Sertãozinho,Pitangueiras,DM - Pitangueiras,1,1,100437,4,2018,4/9/2018,451,2018,PITANGUEIRAS,DEL.POL.PITANGUEIRAS,DEL.SEC.SERTÃOZINHO,DEINTER 3 - RIBEIRAO PRETO,4/8/2018,10:20:00 PM,Via pública,RUA DOIS,179,-20.9982570348139,-48.3260677494186,Vítima,Feminino,38,8/4/1979,Parda,NULL,HOMICÍDIO DOLOSO,Feminicídio-contra a mulher por razões da condição de sexo feminino
DEINTER 7,SEC Sorocaba,Tietê,DM - Tiete,1,1,120212,4,2018,4/30/2018,554,2018,TIETE,DEL.POL.TIETÊ,DEL.SEC.SOROCABA,DEINTER 7 - SOROCABA,4/29/2018,11:00:00 PM,Residência,DA VEDAÇÃO DA DIVULGAÇÃO DOS DADOS RELATIVOS ,,,,Vítima,Feminino,28,11/11/1989,Branca,PRENDAS DOMESTICAS,HOMICÍDIO DOLOSO,Feminicídio-contra a mulher por razões da condição de sexo feminino
DEINTER 8,SEC Presidente Venceslau,Teodoro Sampaio,DM - Teodoro Sampaio,1,1,90308,4,2018,4/8/2018,414,2018,TEODORO SAMPAIO,DEL.POL.TEODORO SAMPAIO,DEL.SEC.PRESIDENTE VENCESLAU,DEINTER 8 - PRESIDENTE PRUDENTE,4/7/2018,EM HORA INCERTA,Residência,DA VEDAÇÃO DA DIVULGAÇÃO DOS DADOS RELATIVOS ,,,,Vítima,Feminino,32,2/26/1986,Parda,NULL,HOMICÍDIO DOLOSO,Feminicídio-contra a mulher por razões da condição de sexo feminino
DEMACRO,SEC Guarulhos,Guarulhos,009 DP - Guarulhos,1,1,30217,4,2018,4/30/2018,2594,2018,GUARULHOS,07º D.P. GUARULHOS,DEL.SEC.GUARULHOS,DEMACRO,4/30/2018,03:15:00 PM,Via pública,RUA TANCREDO ALMEIDA NEVES,0,-23.4026388949999,-46.508293543,Vítima,Feminino,32,3/6/1986,Parda,COZINHEIRO(A),HOMICÍDIO DOLOSO,Feminicídio-contra a mulher por razões da condição de sexo feminino
DEMACRO,SEC Osasco,Osasco,010 DP - Osasco,1,1,30440,4,2018,4/1/2018,1363,2018,OSASCO,10º D.P. OSASCO,DEL.SEC.OSASCO,DEMACRO,4/1/2018,08:55:00 PM,Residência,DA VEDAÇÃO DA DIVULGAÇÃO DOS DADOS RELATIVOS ,,,,Vítima,Feminino,47,3/1/1971,Parda,AJUDANTE,HOMICÍDIO DOLOSO,Feminicídio-contra a mulher por razões da condição de sexo feminino
DEMACRO,SEC Santo André,Santo André,004 DP - Santo André,1,1,30105,4,2018,4/14/2018,1478,2018,S.ANDRE,04º D.P. SANTO ANDRÉ,DEL.SEC.SANTO ANDRÉ,DEMACRO,4/14/2018,03:49:00 PM,Via pública,RUA DAS PITANGUEIRAS,738,-23.6488841316385,-46.5387489888923,Vítima,Feminino,41,4/8/1977,Parda,NAO INFORMADA,HOMICÍDIO DOLOSO,Feminicídio-contra a mulher por razões da condição de sexo feminino
DECAP,1ª SEC,São Paulo,003 DP - Campos Elísios,1,1,10102,5,2018,5/27/2018,3132,2018,S.PAULO,02º D.P. BOM RETIRO,DEL.SEC.1º CENTRO,DECAP,5/27/2018,02:20:00 AM,Via pública,AVENIDA DUQUE DE CAXIAS,400,-23.538568316625,-46.6455102455416,Vítima,Feminino,54,11/15/1963,Branca,NULL,HOMICÍDIO DOLOSO,Feminicídio-contra a mulher por razões da condição de sexo feminino
DECAP,3ª SEC,São Paulo,046 DP - Perus,1,1,10333,5,2018,5/17/2018,3230,2018,S.PAULO,33º D.P. PIRITUBA,DEL.SEC.3º OESTE,DECAP,5/17/2018,06:37:00 PM,Residência,DA VEDAÇÃO DA DIVULGAÇÃO DOS DADOS RELATIVOS ,,,,Vítima,Feminino,34,10/24/1983,Branca,MEDICO VETERINARIO,HOMICÍDIO DOLOSO,Feminicídio-contra a mulher por razões da condição de sexo feminino
DECAP,3ª SEC,São Paulo,075 DP - Jardim Arpoador,1,1,10356,5,2018,5/28/2018,3825,2018,S.PAULO,89º D.P. JARDIM TABOAO,DEL.SEC.3º OESTE,DECAP,5/27/2018,06:00:00 PM,Residência,DA VEDAÇÃO DA DIVULGAÇÃO DOS DADOS RELATIVOS ,,,,Vítima,Feminino,36,1/3/1982,Parda,NULL,HOMICÍDIO DOLOSO,Feminicídio-contra a mulher por razões da condição de sexo feminino
DECAP,7ª SEC,São Paulo,024 DP - Ponte Rasa,1,1,20224,5,2018,5/8/2018,3364,2018,S.PAULO,24º D.P. PONTE RASA,DEL.SEC.7º ITAQUERA,DECAP,5/8/2018,08:11:00 PM,Residência,DA VEDAÇÃO DA DIVULGAÇÃO DOS DADOS RELATIVOS ,,,,Vítima,Feminino,54,1/18/1964,Branca,NAO INFORMADA,HOMICÍDIO DOLOSO,Feminicídio-contra a mulher por razões da condição de sexo feminino
DEINTER 2,1ª Seccional Campinas,Campinas,005 DP - Campinas,1,1,70010,5,2018,5/26/2018,4587,2018,CAMPINAS,PLANTÃO - 01 DP CAMPINAS,DEL.SEC.1º CAMPINAS,DEINTER 2 - CAMPINAS,5/25/2018,10:40:00 PM,Via pública,RUA AJURICABA,50,-22.9424952015999,-47.0368448857636,Vítima,Feminino,50,5/8/1968,Branca,NULL,HOMICÍDIO DOLOSO,Feminicídio-contra a mulher por razões da condição de sexo feminino
DEINTER 2,SEC Bragança Paulista,Águas de Lindóia,DM - Águas de Lindóia,1,1,70112,5,2018,5/31/2018,928,2018,SERRA NEGRA,DEL.POL.SERRA NEGRA,DEL.SEC.BRAGANÇA PAULISTA,DEINTER 2 - CAMPINAS,5/31/2018,06:00:00 PM,Via pública,RUA ITAPIRA,19,-22.4740041513999,-46.6160806283999,Vítima,Feminino,21,8/15/1996,Parda,DESEMPREGADO(A),HOMICÍDIO DOLOSO,Feminicídio-contra a mulher por razões da condição de sexo feminino
DEINTER 5,SEC Jales,Jales,001 DP - Jales,1,1,110227,5,2018,5/22/2018,2362,2018,JALES,01º D.P. JALES,DEL.SEC.JALES,DEINTER 5 - SAO JOSE DO RIO PRETO,5/22/2018,02:48:00 PM,Residência,DA VEDAÇÃO DA DIVULGAÇÃO DOS DADOS RELATIVOS ,,,,Vítima,Feminino,24,7/5/1993,Parda,ESTUDANTE,HOMICÍDIO DOLOSO,Feminicídio-contra a mulher por razões da condição de sexo feminino
DEINTER 7,SEC Sorocaba,Votorantim,001 DP - Votorantim,1,1,120543,5,2018,5/17/2018,288,2018,VOTORANTIM,DDM VOTORANTIM,DEL.SEC.SOROCABA,DEINTER 7 - SOROCABA,5/17/2018,07:13:00 AM,Residência,DA VEDAÇÃO DA DIVULGAÇÃO DOS DADOS RELATIVOS ,,,,Vítima,Feminino,24,2/23/1994,Branca,NULL,HOMICÍDIO DOLOSO,Feminicídio-contra a mulher por razões da condição de sexo feminino
DEINTER 8,SEC Presidente Venceslau,Presidente Venceslau,002 DP - Presidente Venceslau,1,1,90624,5,2018,5/8/2018,1098,2018,PRESIDENTE VENCESLAU,DEL.SEC.PRES.VENCESLAU PLANTÃO,DEL.SEC.PRESIDENTE VENCESLAU,DEINTER 8 - PRESIDENTE PRUDENTE,5/8/2018,11:13:00 AM,Residência,DA VEDAÇÃO DA DIVULGAÇÃO DOS DADOS RELATIVOS ,,,,Vítima,Feminino,60,2/5/1958,Parda,APOSENTADO(A),HOMICÍDIO DOLOSO,Feminicídio-contra a mulher por razões da condição de sexo feminino
DEINTER 9,SEC Limeira,Cordeirópolis,DM - Cordeirópolis,1,1,70806,5,2018,5/18/2018,708,2018,CORDEIROPOLIS,DEL.POL.CORDEIRÓPOLIS,DEL.SEC.LIMEIRA,DEINTER 9 - PIRACICABA,5/18/2018,03:30:00 PM,Comércio e serviços,AVENIDA PRESIDENTE VARGAS,2009,-22.474077318,-47.466454953,Vítima,Feminino,47,5/7/1971,Branca,ARTESAO(A),HOMICÍDIO DOLOSO,Feminicídio-contra a mulher por razões da condição de sexo feminino
DEMACRO,SEC Carapicuíba,Carapicuíba,002 DP - Carapicuiba,1,1,30427,5,2018,5/12/2018,3757,2018,CARAPICUIBA,01º D.P. CARAPICUIBA,DEL.SEC.CARAPICUIBA,DEMACRO,5/12/2018,PELA MANHÃ,Residência,DA VEDAÇÃO DA DIVULGAÇÃO DOS DADOS RELATIVOS ,,,,Vítima,Feminino,25,1/15/1993,Branca,ESTUDANTE,HOMICÍDIO DOLOSO,Feminicídio-contra a mulher por razões da condição de sexo feminino
DEMACRO,SEC Carapicuíba,Santana de Parnaíba,DM - Santana do Parnaiba,1,1,30415,5,2018,5/13/2018,1485,2018,SANTANA DE PARNAIBA,DEL.POL.SANTANA DE PARNAIBA,DEL.SEC.CARAPICUIBA,DEMACRO,5/13/2018,09:00:00 AM,Via pública,RUA FLORA,22,-23.4353173277769,-46.8774615596937,Vítima,Feminino,44,4/24/1974,Parda,NAO INFORMADA,HOMICÍDIO DOLOSO,Feminicídio-contra a mulher por razões da condição de sexo feminino
DEMACRO,SEC Guarulhos,Guarulhos,009 DP - Guarulhos,1,1,30221,5,2018,5/17/2018,1400,2018,GUARULHOS,09º D.P. GUARULHOS,DEL.SEC.GUARULHOS,DEMACRO,5/17/2018,04:30:00 PM,Restaurante e afins,AVENIDA PALMIRA ROSSI,2183,-23.3984431530269,-46.5163446981533,Vítima,Feminino,25,5/25/1992,Branca,ESTUDANTE,HOMICÍDIO DOLOSO,Feminicídio-contra a mulher por razões da condição de sexo feminino
DEMACRO,SEC Mogi das Cruzes,Itaquaquecetuba,DM - Itaquaquecetuba,1,1,30304,5,2018,5/7/2018,2654,2018,ITAQUAQUECETUBA,DEL.POL.ITAQUAQUECETUBA,DEL.SEC.MOGI DAS CRUZES,DEMACRO,5/7/2018,01:00:00 PM,Via pública,AVENIDA PRESIDENTE TANCREDO NEVES,0,-23.480135999,-46.3525307629999,Vítima,Feminino,27,9/30/1990,Branca,DESEMPREGADO,HOMICÍDIO DOLOSO,Feminicídio-contra a mulher por razões da condição de sexo feminino
DEMACRO,SEC Mogi das Cruzes,Mogi das Cruzes,003 DP - Mogi das Cruzes,1,1,30306,5,2018,5/12/2018,2385,2018,MOGI DAS CRUZES,01º D.P. MOGI DAS CRUZES,DEL.SEC.MOGI DAS CRUZES,DEMACRO,5/12/2018,EM HORA INCERTA,Residência,DA VEDAÇÃO DA DIVULGAÇÃO DOS DADOS RELATIVOS ,,,,Vítima,Feminino,30,12/27/1987,Branca,NULL,HOMICÍDIO DOLOSO,Feminicídio-contra a mulher por razões da condição de sexo feminino
DEMACRO,SEC Osasco,Osasco,008 DP - Osasco,1,1,30418,5,2018,5/14/2018,3562,2018,OSASCO,05º D.P. OSASCO,DEL.SEC.OSASCO,DEMACRO,5/14/2018,A NOITE,Residência,DA VEDAÇÃO DA DIVULGAÇÃO DOS DADOS RELATIVOS ,,,,Vítima,Feminino,62,11/8/1955,Parda,PRENDAS DOMESTICAS,HOMICÍDIO DOLOSO,Feminicídio-contra a mulher por razões da condição de sexo feminino
DECAP,3ª SEC,São Paulo,014 DP - Pinheiros,1,1,10314,6,2018,6/13/2018,5035,2018,S.PAULO,14º D.P. PINHEIROS,DEL.SEC.3º OESTE,DECAP,6/13/2018,12:25:00 PM,Saúde,RUA DOUTOR OVIDIO PIRES DE CAMPOS,333,-23.554882092,-46.673080431,Vítima,Feminino,26,10/14/1991,Parda,AUXILIAR DE LIMPEZA,HOMICÍDIO DOLOSO,Feminicídio-contra a mulher por razões da condição de sexo feminino
